E112;ENGSVANYALI LETTER Q
E113;ENGSVANYALI LETTER H
E114;ENGSVANYALI LETTER NG
E115;ENGSVANYALI LETTER GLOTTAL STOP
E116;ENGSVANYALI LETTER TS
E117;ENGSVANYALI LETTER TL
E118;ENGSVANYALI LETTER S
E119;ENGSVANYALI LETTER SH
E11A;ENGSVANYALI LETTER Z
E11B;ENGSVANYALI LETTER ZH
E11C;ENGSVANYALI LETTER SS
E11D;ENGSVANYALI LETTER R
E11E;ENGSVANYALI LETTER L
E11F;ENGSVANYALI LETTER HL
E120;ENGSVANYALI LETTER I
E121;ENGSVANYALI LETTER A
E122;ENGSVANYALI LETTER O
E123;ENGSVANYALI LETTER U
E124;ENGSVANYALI LETTER UE
E125;ENGSVANYALI LETTER E
E126;ENGSVANYALI LETTER AU
E127;ENGSVANYALI LETTER AI
E128;ENGSVANYALI LETTER OI
E129;ENGSVANYALI QUOTATION MARK
E12A;ENGSVANYALI COMMA
E12B;ENGSVANYALI FULL STOP
E12C;ENGSVANYALI QUESTION MARK
E12D;ENGSVANYALI FRACTION SLASH
E12E;ENGSVANYALI CONSONANT DOUBLER
E12F;(This position shall not be used)
E130;ENGSVANYALI VOWEL SIGN I
E131;ENGSVANYALI VOWEL SIGN A
E132;ENGSVANYALI VOWEL SIGN O
E133;ENGSVANYALI VOWEL SIGN U
E134;ENGSVANYALI VOWEL SIGN UE
E135;ENGSVANYALI VOWEL SIGN E
E136;ENGSVANYALI VOWEL SIGN AU
E137;ENGSVANYALI VOWEL SIGN AI
E138;ENGSVANYALI VOWEL SIGN OI
E139;(This position shall not be used)
E13A;(This position shall not be used)
E13B;(This position shall not be used)
E13C;(This position shall not be used)
E13D;(This position shall not be used)
E13E;(This position shall not be used)
E13F;ENGSVANYALI LETTER LL
E140;ENGSVANYALI DIGIT ZERO
E141;ENGSVANYALI DIGIT ONE
E142;ENGSVANYALI DIGIT TWO
E143;ENGSVANYALI DIGIT THREE
E144;ENGSVANYALI DIGIT FOUR
E145;ENGSVANYALI DIGIT FIVE
E146;ENGSVANYALI DIGIT SIX
E147;ENGSVANYALI DIGIT SEVEN
E148;ENGSVANYALI DIGIT EIGHT
E149;ENGSVANYALI DIGIT NINE
E14A;ENGSVANYALI NUMBER TEN
E14B;ENGSVANYALI NUMBER ONE HUNDRED
E14C;ENGSVANYALI NUMBER ONE THOUSAND
E14D;ENGSVANYALI NUMBER TEN THOUSAND
E14E;ENGSVANYALI NUMBER ONE MILLION
E14F;(This position shall not be used)

E150;KINYA LETTER K
E151;KINYA LETTER G
E152;KINYA LETTER H
E153;KINYA LETTER X
E154;KINYA LETTER S
E155;KINYA LETTER Z
E156;KINYA LETTER T
E157;KINYA LETTER D
E158;KINYA LETTER TH
